goos: linux
goarch: amd64
pkg: alloc_bench
cpu: DO-Regular
BenchmarkAlloc_192-4          	 9452898	       115.5 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	11010249	       120.7 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 8121445	       136.3 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 9817136	       125.7 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	10763952	       117.0 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	10558452	       125.4 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	10165321	       134.3 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 8679877	       126.0 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 8427141	       126.2 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 9915595	       124.8 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 7828252	       132.9 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 8941158	       148.1 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 9329635	       129.1 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	10113879	       129.8 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	 9188994	       121.9 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	11637135	       115.3 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	11104975	       112.2 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	10619604	       124.5 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	11169604	       116.6 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-4          	11146914	       112.0 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 8700585	       145.0 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 8881816	       136.0 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 8358339	       158.7 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 9592906	       162.0 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 8324883	       166.7 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7175728	       148.8 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7665780	       155.4 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7957936	       176.9 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 6445189	       155.2 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 6413625	       157.9 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7351113	       152.8 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 6970700	       168.8 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7270507	       171.4 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7071484	       150.1 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7262481	       174.0 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 8290725	       153.6 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 8860390	       149.5 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 7595017	       174.8 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 6874917	       243.1 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-4          	 6241864	       224.5 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 4737672	       224.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5430208	       262.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 4453329	       229.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 4951135	       249.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5056281	       232.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5804994	       209.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 6023400	       242.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5552191	       239.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 6480249	       212.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5175818	       223.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5331441	       276.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5210757	       426.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 2583477	       410.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 3405852	       347.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5376228	       257.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 3085964	       364.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5359206	       234.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5900280	       248.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5716822	       215.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-4          	 5590222	       207.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 5153437	       320.0 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 5277336	       257.7 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4444374	       252.6 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4965084	       252.9 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4241247	       255.1 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4770267	       244.3 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4336207	       295.4 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4207872	       307.0 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 3812902	       307.5 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4433911	       235.9 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 5470040	       259.8 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 4725427	       311.0 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 3332764	       314.6 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-4          	 3939258	       334.3 ns/op	     512 B/op	       1 allocs/op
